# hyperhyper-eval: 1
# title: SuperSim (relatedness), Swedish
# source-url: https://spraakbanken.gu.se/resurser/data/supersim-superlim.zip
# source-sha256: 319e731c2d0801a7bc0abed1ef029f64b919b34614ec6e5f68a787888ea702fd
# license: CC-BY-4.0
# license-evidence: CC BY 4.0 -- stated in readme.txt *inside* supersim-superlim.zip: "Data for 'SuperSim: a test set for word similarity and relatedness in Swedish', v1; Simon Hengchen, Nina Tahmasebi; University of Gothenburg; DOI 10.5281/zenodo.4660084; CC BY 4.0 to Hengchen/Tahmasebi"
# citation: Hengchen, Simon and Nina Tahmasebi (2021). SuperSim: a test set for word similarity and relatedness in Swedish. Proceedings of NoDaLiDa 2021, Reykjavik.
#
# Imported by tools/import_eval_data/import_ws.py (ADR 0001, phase P3).
# Transformation: selected columns 'Word 1', 'Word 2' and 'Average' from supersim_superlim/data/gold_relatedness.tsv; the five per-annotator columns are not carried over (the package scores against the aggregate)
# No score was recomputed, rescaled or averaged; the aggregate column is
# taken exactly as upstream published it.
#
# Source rows: 1360; bundled rows: 1280.
#   dropped-multitoken: 63
#   dropped-self_pair: 1
#   dropped-duplicate: 16
word1	word2	score
hus	nyckel-	5.4
flotta	armé	10.0
aktie	leva	0.2
skapa	tänka	1.2
slinga	bälte	1.4
film	popcorn	7.8
maskin	båt	3.2
botten	topp	9.2
lera	smuts	7.6
järnväg	staket	2.6
helig	sex	1.8
bi	myra	6.6
natt	gryning	7.6
älskare	gräl	2.8
älskare	gnabb	3.8
avgörande	viktig	9.6
värde	tro	1.2
konservburk	metall	8.2
student	elev	9.6
sten	jazz	0.2
marijuana	ört	4.4
fråga	åberopa	0.6
moster	brorson	7.6
förstå	lyssna	4.2
mat	tupp	1.2
sju	serier	0.6
middag	soppa	7.6
bråka	övertala	2.2
företag	industri	9.4
tillkännagivande	produktion	0.2
dusch	åskväder	0.8
guvernör	kontor	2.8
formel	logga	0.2
molekyl	luft	4.2
mord	dråp	9.4
bråka	rationalisera	0.2
Gud	djävul	9.4
andra	minut	0.2
välja	utse	9.4
era	årtionde	8.0
knapp	sällsynt	4.6
bok	litteratur	9.8
kompetens	förmåga	9.6
utdelning	kalkylering	2.6
möjlighet	flicka	0.8
smart	intelligent	10.0
dryck	bil	0.2
närvara	anlända	4.0
läkare	doktor	9.6
observation	arkitektur	0.4
fara	sjukdom	5.6
pengar	besatthet	3.4
advokat	jurist	9.8
brudgum	brud	10.0
snö	väder	9.6
uppmärksamhet	medvetenhet	6.6
riktning	kombination	0.2
bevarande	värld	1.2
ansvar	försäkring	2.6
porträttera	meddela	0.2
båt	bil	5.2
förare	pilot	9.0
skaldjur	mat	7.4
utvidga	växa	8.4
gräs	mossa	6.4
vilja	välja	4.4
son	far	10.0
tillträde	biljett	8.8
lycka	fred	7.6
moral	äktenskap	2.6
tappa	misslyckas	2.0
burk	flaska	5.2
far	bror	7.0
pengar	tvätta	5.0
bibel	psalm	9.6
smutsig	snål	0.2
rapportera	tjäna	0.2
klassrum	hall	2.4
hål	fru	0.2
fönster	dörr	8.4
ben	armbåge	4.4
burk	apparat	2.0
flod	ström	7.6
boll	korg	4.4
energi	kris	2.4
bil	flyg	7.2
märklig	udda	9.6
bok	bibel	8.0
djup	magnitud	5.8
djup	omfattning	5.2
styrka	kanske	0.8
trä	logga	0.2
vatten	läckage	7.0
tänka	besluta	3.2
ömtålig	kylig	0.2
video-	arkiv	3.8
tillförlitlig	säker	9.6
produktion	vandra	0.2
Jerusalem	palestinsk	7.2
dator	internet	9.8
lägenhet	hotell	3.8
låna	vilja	1.0
kontrollera	rättfärdiga	1.8
skog	kyrkogård	1.4
organ	lever	10.0
bild	yta	1.8
bil	taxi	9.0
badrum	sovrum	7.4
ö	uppgift	0.2
sätt	beteende	9.8
minoritet	fred	1.2
katastrof	område	5.2
mun	läpp	9.0
mil	kilometer	10.0
dator	tangentbord	10.0
pengar	lön	9.6
öga	riva	0.6
öga	tår	9.0
aktie	marknadsföra	2.0
diet	äpple	3.0
flicka	barn	9.6
slug	tuff	1.0
låda	hatt	0.6
uppmuntra	avskräcka	7.8
spendera	spara	8.8
tillkännagivande	nyheter	6.2
basketboll	baseboll	6.0
lärare	hjälpare	2.8
uppgift	sugrör	0.2
gata	aveny	9.4
bebis	mor	9.2
ortodontist	tandläkare	10.0
kalkylering	beräkning	10.0
moral	betydelse	3.0
jaguar	bil	7.0
samla	träffa	2.0
skaldjur	hummer	10.0
hund	katt	8.0
fordon	buss	9.6
vinna	utföra	1.4
prejudikat	grupp	0.2
sjukhus	infrastruktur	3.8
armbåge	vrist	5.2
kläder	trasa	4.4
vinter	sommar	9.4
rikedom	berömmelse	6.8
uppfylla	snälla	0.2
börja	härröra	2.8
börja	sluta	9.0
ta	lämna	2.6
tåg	bil	5.2
näsa	mun	6.4
dålig	omoralisk	6.4
utveckling	problem	1.0
artig	rätt	2.8
kamera	president	0.2
område	zon	10.0
olja	aktie	4.0
annorlunda	vanlig	8.4
aktie	jaguar	0.8
bok	artikel	4.8
kung	kål	0.2
telefon	kommunikation	7.2
muskel	tunga	7.8
dotter	unge	7.2
faktum	insikt	4.0
bok	berättelse	8.4
häst	sto	10.0
mor	fru	6.4
skapa	förstöra	8.6
kulle	klippa	3.0
spel	handling	2.6
skylt	fördjupning	0.2
skylt	paus	0.2
skola	centrum	0.8
skola	mitten	0.2
vagn	behållare	0.8
död	tragedi	8.8
pojke	bror	7.2
lyckas	försöka	7.6
tillkännagivande	ansträngning	1.6
blomma	buske	6.6
pistol	kanon	6.0
tupp	färd	0.2
lycklig	ung	1.6
skönhet	ålder	3.6
dryck	äta	7.0
territorium	yta	9.4
prejudikat	samling	0.2
psykologi	kognition	9.4
prins	kung	9.4
rastlös	ung	3.0
nödvändig	viktig	9.6
doktor	ansvar	4.8
blod	märg	6.0
söder	norr	10.0
kopp	artefakt	2.2
vapen	hemlighet	1.0
män	broderskap	8.0
rädd	ängslig	9.8
Gud	ande	9.6
racket	ljud	0.8
